date,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,SH2M,RH2M,Rainfall,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981-01-02,5.87,5.48,5.68,5.15,4.95,7.37,2.43,5.92,97.38,15.41,95.44,10.31,12.17,8.17,4.0,263.25,13.89,15.72,11.02,4.7,264.75
1981-01-03,1.56,0.73,1.15,1.15,5.92,3.97,-1.96,4.27,94.25,5.01,94.69,9.61,12.02,5.22,6.8,291.5,12.61,15.5,8.0,7.5,292.94
1981-01-04,-1.95,-3.17,-2.56,-2.2,2.2,-0.88,-3.08,3.11,92.69,1.93,96.24,7.2,10.3,3.85,6.46,315.44,9.5,12.83,5.58,7.25,316.56
1981-01-05,-1.37,-2.36,-1.87,-1.66,5.09,1.53,-3.56,3.3,94.06,6.25,97.01,6.41,13.37,2.51,10.86,284.12,8.54,17.3,3.48,13.84,285.31
1981-01-06,-1.27,-1.92,-1.6,-2.57,4.68,0.72,-3.97,3.42,96.25,1.28,97.42,3.09,7.3,0.21,7.09,208.62,4.77,9.96,0.27,9.69,209.25
1981-01-07,0.2,0.12,0.16,-0.75,7.88,3.51,-4.38,3.97,99.69,3.87,98.21,3.63,5.92,1.3,4.62,234.19,6.37,9.93,2.0,7.94,234.81
1981-01-08,4.95,4.74,4.84,4.08,2.84,6.0,3.15,5.49,98.38,5.69,97.53,9.2,12.71,5.11,7.6,245.31,12.77,16.61,8.71,7.9,246.31
1981-01-09,0.68,-0.2,0.24,0.16,6.62,4.21,-2.42,3.91,94.0,2.39,97.21,6.94,8.52,5.23,3.27,294.69,9.6,11.4,7.83,3.57,295.75
1981-01-10,-2.11,-3.29,-2.7,-2.69,2.99,-0.38,-3.38,2.99,92.94,0.1,98.74,5.38,7.77,2.81,4.96,337.75,7.86,10.5,5.23,5.27,338.81
1981-01-11,1.51,1.15,1.33,0.93,5.04,3.53,-1.51,4.27,97.62,3.63,98.07,7.43,12.88,3.16,9.71,268.44,10.41,16.73,5.62,11.11,269.62
1981-01-12,-1.53,-3.45,-2.49,-1.97,4.84,1.12,-3.73,3.05,87.5,3.62,96.49,10.55,11.78,8.32,3.46,313.56,13.89,15.75,11.23,4.52,314.94
1981-01-13,-0.74,-1.38,-1.06,-1.33,8.54,3.64,-4.9,3.66,96.5,4.06,96.58,6.48,9.05,3.46,5.59,272.62,9.16,12.86,5.16,7.7,274.06
1981-01-14,1.56,0.38,0.98,0.95,8.19,5.45,-2.74,4.27,92.06,8.42,94.1,12.65,15.49,8.87,6.63,280.56,16.43,19.61,11.83,7.78,282.0
1981-01-15,-3.23,-4.61,-3.92,-3.69,5.62,-1.25,-6.87,2.87,92.06,1.65,94.93,6.31,9.32,3.44,5.89,315.75,8.7,12.38,5.07,7.31,317.0
1981-01-16,-4.56,-5.28,-4.92,-5.05,8.02,0.54,-7.49,2.75,97.44,24.24,94.61,5.38,9.53,0.16,9.37,157.69,6.77,11.47,0.03,11.44,164.25
1981-01-17,-1.83,-2.35,-2.1,-3.25,7.12,0.54,-6.58,3.42,97.38,8.88,94.89,4.48,8.14,0.88,7.27,78.69,6.25,10.45,1.23,9.23,80.5
1981-01-18,-2.28,-2.63,-2.45,-3.38,9.07,1.5,-7.57,3.36,98.38,7.5,95.74,6.05,11.81,1.37,10.45,191.38,8.42,15.67,1.92,13.75,192.88
1981-01-19,0.39,-0.85,-0.23,-0.17,2.75,1.0,-1.76,3.72,91.44,4.26,95.51,9.0,11.8,5.73,6.07,280.88,12.22,15.65,8.95,6.7,282.31
1981-01-20,-2.62,-3.26,-2.94,-3.77,8.25,1.1,-7.15,3.17,97.25,1.12,96.7,3.74,5.53,2.73,2.8,246.94,6.22,8.19,4.77,3.41,247.5
1981-01-21,2.37,2.43,2.4,0.99,2.41,3.66,1.25,4.7,99.88,5.45,97.04,4.61,7.83,2.73,5.1,261.12,8.27,13.2,4.41,8.79,262.0
