date,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,Rainfall,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1981-01-02,98.87,10.8,12.21,8.86,3.35,266.25,5.86,96.19,4.12,6.4,5.85,6.12,6.08,2.85,7.87,5.01,14.27,16.02,11.95,4.07,267.56
1981-01-03,97.75,11.38,13.59,5.62,7.98,282.56,5.31,91.06,1.91,5.52,4.2,4.87,5.07,6.34,8.91,2.58,15.17,17.81,8.25,9.55,283.56
1981-01-04,98.5,7.75,11.84,5.08,6.76,311.5,3.91,89.56,0.27,1.65,0.12,0.88,1.13,3.17,3.1,-0.07,10.97,15.7,7.7,7.99,311.94
1981-01-05,99.45,4.92,10.47,1.7,8.77,293.5,3.91,93.94,0.97,1.01,0.09,0.55,0.35,6.63,4.37,-2.27,7.61,14.3,2.98,11.32,293.81
1981-01-06,99.48,7.1,9.93,2.6,7.33,289.38,5.0,95.38,1.74,4.38,3.73,4.06,3.96,3.02,5.55,2.52,10.03,13.66,5.54,8.12,275.0
1981-01-07,100.49,2.49,4.59,1.44,3.16,263.88,4.39,94.69,0.34,2.65,1.89,2.26,2.05,5.37,5.13,-0.24,4.38,7.59,2.41,5.18,263.88
1981-01-08,100.46,5.26,6.89,4.41,2.48,256.44,5.74,97.69,0.93,6.19,5.87,6.02,5.87,1.73,7.12,5.37,7.62,9.7,6.91,2.78,257.0
1981-01-09,99.57,6.2,7.78,4.82,2.97,286.75,5.25,95.31,4.27,4.87,4.2,4.53,4.48,5.63,7.45,1.81,8.79,10.7,6.78,3.92,287.31
1981-01-10,100.03,7.77,10.25,5.09,5.16,66.38,3.54,92.75,0.27,0.01,-1.08,-0.53,-0.44,4.18,1.57,-2.61,10.78,13.37,7.96,5.41,52.56
1981-01-11,100.51,3.66,5.07,1.6,3.47,119.38,3.11,91.56,0.18,-1.36,-2.73,-2.05,-1.81,3.54,0.72,-2.81,5.84,8.55,2.54,6.02,120.12
1981-01-12,98.87,8.65,10.14,5.54,4.6,309.38,4.03,91.56,3.27,1.69,0.47,1.08,1.08,5.91,4.62,-1.28,12.09,13.61,8.93,4.68,310.12
1981-01-13,99.25,6.23,9.29,3.65,5.64,303.94,3.85,91.44,3.92,0.83,-0.46,0.19,0.43,8.26,5.94,-2.31,8.97,12.78,5.56,7.22,304.5
1981-01-14,97.39,11.66,13.78,9.18,4.6,279.94,5.62,94.5,8.98,5.79,4.99,5.39,5.3,5.91,8.45,2.54,15.59,18.05,12.65,5.4,281.12
1981-01-15,97.25,8.38,11.22,4.87,6.35,306.12,3.66,87.12,0.73,1.0,-0.91,0.05,0.33,2.67,2.31,-0.36,11.82,15.54,8.41,7.13,306.44
1981-01-16,97.08,7.52,12.78,2.33,10.45,250.88,4.52,95.81,12.2,2.42,1.8,2.11,1.82,8.27,7.26,-1.02,10.85,17.19,4.68,12.51,251.88
