date,Rainfall,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WD50M,WS50M_RANGE,WS50M_MIN,WS50M_MAX,WS50M
1981-01-02,2.78,100.18,10.08,11.63,7.12,4.52,259.75,5.74,94.0,6.57,5.69,6.13,6.18,4.82,8.14,3.32,261.56,5.87,9.84,15.71,13.6
1981-01-03,0.77,98.95,12.04,13.94,7.08,6.86,278.56,5.19,83.5,6.58,3.97,5.27,6.01,5.88,9.28,3.4,280.12,8.47,10.25,18.73,16.36
1981-01-04,0.25,99.81,8.08,13.4,5.24,8.16,298.94,3.72,87.81,1.48,-0.36,0.55,0.98,3.79,3.27,-0.51,300.25,9.35,8.27,17.62,11.34
1981-01-05,2.0,100.97,5.11,11.06,2.84,8.23,285.31,3.54,93.62,0.05,-0.84,-0.4,-0.42,6.94,3.81,-3.13,286.44,11.88,3.43,15.31,7.98
1981-01-06,2.18,100.92,6.09,11.78,1.88,9.89,262.75,4.39,94.81,2.78,2.07,2.42,2.33,4.71,4.83,0.12,263.69,13.02,3.18,16.2,8.91
1981-01-07,0.93,102.2,2.56,4.28,1.54,2.74,280.69,3.54,97.81,-0.35,-0.71,-0.52,-0.42,5.42,3.27,-2.15,281.25,4.96,2.71,7.67,4.12
1981-01-08,0.24,102.04,5.03,6.13,3.97,2.16,265.62,5.43,98.19,5.54,5.32,5.43,5.12,3.83,7.69,3.87,266.56,3.13,5.62,8.76,7.71
1981-01-09,2.3,101.13,5.7,7.52,4.09,3.43,274.19,5.13,96.31,4.76,4.24,4.5,4.3,5.69,7.24,1.55,275.31,3.52,6.87,10.39,8.41
1981-01-10,0.33,101.53,7.98,9.7,5.19,4.51,192.44,3.66,89.75,1.17,-0.35,0.41,0.76,4.7,3.34,-1.35,178.94,6.02,7.15,13.16,10.98
1981-01-11,0.08,102.15,4.3,5.98,2.24,3.75,307.75,3.05,92.75,-1.51,-2.77,-2.14,-1.92,5.31,1.72,-3.6,278.5,4.48,4.12,8.59,6.53
1981-01-12,2.09,100.24,8.41,9.69,6.31,3.38,293.44,3.72,91.12,0.99,-0.32,0.33,0.5,5.65,3.76,-1.88,295.06,4.34,8.83,13.17,11.62
1981-01-13,4.09,100.73,6.65,8.98,4.52,4.46,284.88,3.05,85.69,-1.0,-3.21,-2.1,-1.28,6.38,2.74,-3.64,286.12,6.34,6.21,12.55,9.13
1981-01-14,2.87,98.63,9.91,12.65,6.5,6.16,268.5,5.25,93.81,5.11,4.19,4.65,4.51,5.88,8.44,2.55,270.19,7.5,9.5,17.0,13.6
1981-01-15,0.95,98.55,7.39,10.49,4.3,6.19,296.31,3.78,90.56,1.09,-0.31,0.39,0.61,3.38,2.55,-0.82,297.44,8.03,6.66,14.7,10.49
1981-01-16,6.5,98.71,5.93,8.91,2.37,6.54,234.81,3.91,96.5,0.67,0.12,0.4,0.29,5.97,4.19,-1.78,236.31,9.04,3.66,12.7,8.34
1981-01-17,1.46,98.4,8.95,12.06,4.25,7.8,284.81,4.46,91.69,3.16,1.94,2.55,2.58,4.04,4.66,0.62,286.38,8.86,7.33,16.18,12.5
1981-01-18,2.88,99.98,4.63,6.77,1.14,5.63,235.19,4.03,97.81,0.91,0.61,0.76,0.73,5.7,4.1,-1.6,236.19,7.57,1.79,9.36,6.47
1981-01-19,0.73,99.74,6.87,8.56,4.74,3.82,268.56,4.46,92.62,3.22,2.14,2.68,2.73,3.16,5.15,1.99,269.88,5.04,7.19,12.23,9.72
1981-01-20,0.53,100.57,3.88,6.2,1.2,4.99,282.38,3.66,87.31,1.28,-0.65,0.31,0.61,4.46,3.62,-0.85,283.06,7.2,1.84,9.05,5.92
1981-01-21,6.79,101.07,5.93,7.04,4.47,2.57,253.88,5.62,96.88,5.74,5.28,5.51,5.3,8.81,9.47,0.65,255.19,3.2,7.27,10.47,8.66
1981-01-22,0.23,101.75,2.68,4.12,1.54,2.59,291.38,6.16,96.75,7.4,7.0,7.19,6.87,4.5,10.08,5.58,291.81,4.55,2.7,7.26,4.99
1981-01-23,0.43,101.75,2.7,4.84,1.91,2.94,250.69,5.8,98.38,6.23,6.17,6.2,5.83,4.18,9.14,4.97,250.81,4.42,2.9,7.32,4.62
1981-01-24,0.24,101.25,4.77,6.09,3.0,3.1,263.81,5.0,96.19,4.3,3.81,4.05,3.81,7.8,7.79,-0.02,264.44,1.91,6.47,8.38,7.32
1981-01-25,0.51,101.34,4.78,7.1,2.57,4.53,277.44,4.46,95.25,2.83,2.22,2.52,2.38,7.18,7.33,0.14,278.25,3.7,5.41,9.1,7.7
1981-01-26,2.32,101.82,4.02,5.17,2.29,2.88,248.44,5.55,98.19,5.67,5.44,5.55,5.23,5.3,8.27,2.98,249.19,2.73,5.02,7.74,6.67
1981-01-27,0.3,102.5,2.14,3.99,0.98,3.02,260.06,5.31,97.44,5.33,4.97,5.15,5.36,3.32,7.2,3.87,260.19,4.56,1.87,6.42,3.19
1981-01-28,0.28,102.65,2.93,3.78,1.65,2.13,213.5,5.07,96.69,4.76,4.29,4.52,4.68,3.1,6.26,3.17,214.0,2.76,3.33,6.09,4.45
1981-01-29,0.24,102.31,3.41,4.75,2.09,2.66,223.56,5.13,96.31,4.9,4.51,4.71,4.64,2.24,6.05,3.8,224.0,2.11,4.23,6.34,5.33
1981-01-30,0.15,102.25,2.7,3.88,1.73,2.15,232.5,4.27,97.19,1.83,1.82,1.83,1.56,4.73,4.64,-0.09,233.06,3.99,2.7,6.7,4.19
1981-01-31,0.27,102.36,3.52,4.23,2.57,1.66,254.31,4.03,96.5,1.53,1.05,1.29,1.69,3.58,3.37,-0.2,254.94,2.61,3.36,5.97,4.65
1981-02-01,0.19,102.26,4.24,5.09,2.95,2.13,250.5,4.15,94.12,2.08,1.42,1.75,2.07,7.44,6.94,-0.5,251.19,3.8,4.73,8.53,5.89
1981-02-02,2.97,101.36,8.22,14.39,5.07,9.33,217.25,5.37,96.94,5.3,4.87,5.08,5.15,7.13,9.19,2.05,218.69,12.58,6.49,19.07,10.59
1981-02-03,4.74,99.17,8.59,14.95,5.45,9.51,266.56,5.19,86.38,6.3,4.14,5.23,5.94,6.18,9.55,3.37,267.88,11.88,7.92,19.8,11.72
1981-02-04,0.41,98.77,7.1,9.2,4.93,4.27,295.06,4.03,89.31,2.26,0.66,1.46,1.83,3.41,3.94,0.52,296.31,3.84,8.25,12.09,10.05
1981-02-05,0.57,99.73,6.21,8.24,5.3,2.95,275.62,4.94,96.25,4.01,3.47,3.73,3.67,7.16,7.73,0.56,276.88,4.22,6.94,11.16,8.71
1981-02-06,0.37,100.34,7.65,9.61,5.97,3.64,264.0,6.35,94.5,8.01,7.19,7.61,7.68,6.47,10.82,4.35,265.5,4.33,8.62,12.95,10.5
