date,Rainfall,SP,WS10M,WD10M,RH2M,T2M,season
1981-01-02,2.78,100.18,10.08,259.75,94.0,6.57,4
1981-01-03,0.77,98.95,12.04,278.56,83.5,6.58,4
1981-01-04,0.25,99.81,8.08,298.94,87.81,1.48,4
1981-01-05,2.0,100.97,5.11,285.31,93.62,0.05,4
1981-01-06,2.18,100.92,6.09,262.75,94.81,2.78,4
1981-01-07,0.93,102.2,2.56,280.69,97.81,-0.35,4
1981-01-08,0.24,102.04,5.03,265.62,98.19,5.54,4
1981-01-09,2.3,101.13,5.7,274.19,96.31,4.76,4
1981-01-10,0.33,101.53,7.98,192.44,89.75,1.17,4
1981-01-11,0.08,102.15,4.3,307.75,92.75,-1.51,4
1981-01-12,2.09,100.24,8.41,293.44,91.12,0.99,4
1981-01-13,4.09,100.73,6.65,284.88,85.69,-1.0,4
1981-01-14,2.87,98.63,9.91,268.5,93.81,5.11,4
1981-01-15,0.95,98.55,7.39,296.31,90.56,1.09,4
1981-01-16,6.5,98.71,5.93,234.81,96.5,0.67,4
1981-01-17,1.46,98.4,8.95,284.81,91.69,3.16,4
1981-01-18,2.88,99.98,4.63,235.19,97.81,0.91,4
1981-01-19,0.73,99.74,6.87,268.56,92.62,3.22,4
1981-01-20,0.53,100.57,3.88,282.38,87.31,1.28,4
1981-01-21,6.79,101.07,5.93,253.88,96.88,5.74,4
1981-01-22,0.23,101.75,2.68,291.38,96.75,7.4,4
1981-01-23,0.43,101.75,2.7,250.69,98.38,6.23,4
1981-01-24,0.24,101.25,4.77,263.81,96.19,4.3,4
1981-01-25,0.51,101.34,4.78,277.44,95.25,2.83,4
1981-01-26,2.32,101.82,4.02,248.44,98.19,5.67,4
1981-01-27,0.3,102.5,2.14,260.06,97.44,5.33,4
1981-01-28,0.28,102.65,2.93,213.5,96.69,4.76,4
1981-01-29,0.24,102.31,3.41,223.56,96.31,4.9,4
1981-01-30,0.15,102.25,2.7,232.5,97.19,1.83,4
1981-01-31,0.27,102.36,3.52,254.31,96.5,1.53,4
1981-02-01,0.19,102.26,4.24,250.5,94.12,2.08,4
1981-02-02,2.97,101.36,8.22,217.25,96.94,5.3,4
1981-02-03,4.74,99.17,8.59,266.56,86.38,6.3,4
1981-02-04,0.41,98.77,7.1,295.06,89.31,2.26,4
1981-02-05,0.57,99.73,6.21,275.62,96.25,4.01,4
1981-02-06,0.37,100.34,7.65,264.0,94.5,8.01,4
1981-02-07,0.54,100.8,8.41,252.56,91.25,8.76,4
1981-02-08,4.36,100.58,6.63,238.31,93.0,8.4,4
1981-02-09,11.52,99.99,5.62,279.5,95.44,4.18,4
1981-02-10,0.11,101.19,5.28,319.25,90.06,0.98,4
1981-02-11,0.07,101.34,3.48,255.0,89.31,0.16,4
1981-02-12,0.19,100.31,4.91,179.31,92.25,1.16,4
1981-02-13,0.01,101.17,3.69,136.62,88.38,-0.87,4
1981-02-14,0.06,101.33,1.94,196.69,88.81,-1.35,4
1981-02-15,0.15,101.13,2.47,256.44,93.12,0.01,4
1981-02-16,0.38,101.55,2.23,154.12,97.69,2.03,4
1981-02-17,0.28,101.79,3.33,100.94,93.31,1.55,4
1981-02-18,0.27,101.46,3.95,77.88,88.44,-0.1,4
1981-02-19,0.5,101.37,4.94,58.5,88.94,0.11,4
1981-02-20,0.86,101.21,3.55,26.88,89.06,-0.5,4
1981-02-21,0.93,100.55,4.36,156.5,85.06,-1.16,4
1981-02-22,7.04,99.68,6.73,104.88,93.19,-0.47,4
1981-02-23,0.72,100.18,4.86,93.5,94.56,0.26,4
1981-02-24,0.17,101.38,2.58,53.0,92.06,-1.63,4
1981-02-25,0.19,101.67,1.94,79.69,91.12,-1.32,4
