date,Rainfall,SP,WS10M,WD10M,RH2M,T2M,season
1981-01-02,4.12,98.87,10.8,266.25,96.19,6.4,4
1981-01-03,1.91,97.75,11.38,282.56,91.06,5.52,4
1981-01-04,0.27,98.5,7.75,311.5,89.56,1.65,4
1981-01-05,0.97,99.45,4.92,293.5,93.94,1.01,4
1981-01-06,1.74,99.48,7.1,289.38,95.38,4.38,4
1981-01-07,0.34,100.49,2.49,263.88,94.69,2.65,4
1981-01-08,0.93,100.46,5.26,256.44,97.69,6.19,4
1981-01-09,4.27,99.57,6.2,286.75,95.31,4.87,4
1981-01-10,0.27,100.03,7.77,66.38,92.75,0.01,4
1981-01-11,0.18,100.51,3.66,119.38,91.56,-1.36,4
1981-01-12,3.27,98.87,8.65,309.38,91.56,1.69,4
1981-01-13,3.92,99.25,6.23,303.94,91.44,0.83,4
1981-01-14,8.98,97.39,11.66,279.94,94.5,5.79,4
1981-01-15,0.73,97.25,8.38,306.12,87.12,1.0,4
1981-01-16,12.2,97.08,7.52,250.88,95.81,2.42,4
1981-01-17,2.09,97.09,11.04,289.38,92.25,3.47,4
1981-01-18,6.14,98.26,5.62,252.0,97.94,3.18,4
1981-01-19,3.38,98.32,7.07,282.19,95.12,4.08,4
1981-01-20,2.03,98.91,3.66,276.75,92.56,3.57,4
1981-01-21,2.76,99.55,5.97,281.31,97.44,7.94,4
1981-01-22,0.7,100.1,2.2,273.44,98.62,7.38,4
1981-01-23,0.55,100.02,2.58,222.81,97.19,5.89,4
1981-01-24,0.83,99.62,4.34,280.81,96.56,4.33,4
1981-01-25,0.24,99.77,4.06,281.31,95.69,3.38,4
1981-01-26,1.14,100.19,3.86,254.62,98.38,6.32,4
1981-01-27,0.35,100.74,1.99,205.44,97.19,4.88,4
1981-01-28,0.25,100.79,3.97,160.62,98.06,5.09,4
1981-01-29,0.21,100.5,3.41,168.0,97.19,4.58,4
1981-01-30,0.06,100.47,2.55,162.06,96.19,2.23,4
1981-01-31,0.3,100.64,2.44,225.62,97.81,2.4,4
1981-02-01,0.26,100.57,3.44,226.31,97.06,3.48,4
1981-02-02,7.26,99.71,8.3,217.62,97.94,7.11,4
1981-02-03,7.14,97.75,9.05,277.38,92.31,5.59,4
1981-02-04,1.25,97.42,7.88,304.06,92.31,2.31,4
1981-02-05,1.13,98.32,7.11,292.56,96.38,5.3,4
1981-02-06,0.98,98.95,8.05,269.06,97.25,8.04,4
1981-02-07,2.22,99.28,8.93,250.75,96.94,8.37,4
1981-02-08,6.88,98.92,7.91,234.94,95.88,8.08,4
1981-02-09,7.68,98.45,6.4,297.94,94.31,4.23,4
1981-02-10,0.4,99.66,4.3,325.81,92.31,1.01,4
1981-02-11,0.07,99.59,3.57,241.69,92.25,0.36,4
1981-02-12,2.29,98.32,6.34,165.56,95.0,2.98,4
1981-02-13,0.03,99.19,5.32,119.56,90.94,-0.64,4
1981-02-14,0.04,99.51,2.2,154.31,91.56,-1.08,4
1981-02-15,0.13,99.37,1.56,232.56,96.0,0.83,4
1981-02-16,0.23,99.75,1.97,84.81,95.12,2.64,4
