date,Rainfall,T2M,RH2M,SP,WS10M,WD10M,season
1981-01-02,11.89,9.12,92.56,99.88,13.7,262.88,4
1981-01-03,1.89,5.7,84.44,99.16,13.39,294.81,4
1981-01-04,1.54,3.08,81.44,100.58,10.11,319.88,4
1981-01-05,2.16,2.76,81.75,101.31,7.9,284.62,4
1981-01-06,1.42,5.64,85.88,101.54,7.42,279.19,4
1981-01-07,0.98,5.51,94.06,102.32,5.0,250.44,4
1981-01-08,1.77,8.28,94.56,101.8,8.9,235.94,4
1981-01-09,3.13,5.3,84.81,101.47,9.12,303.88,4
1981-01-10,0.13,3.23,77.94,102.87,8.33,209.0,4
1981-01-11,1.89,4.59,91.12,102.44,7.11,280.69,4
1981-01-12,2.22,3.74,76.56,100.94,13.42,321.44,4
1981-01-13,8.74,4.59,88.75,100.93,9.53,283.5,4
1981-01-14,5.86,6.49,83.81,98.67,14.87,284.25,4
1981-01-15,2.11,2.33,80.81,99.16,9.15,315.56,4
1981-01-16,13.12,2.81,91.31,98.31,9.47,209.19,4
1981-01-17,8.23,4.4,90.0,98.63,8.62,306.19,4
1981-01-18,6.18,3.88,89.62,99.7,8.48,223.62,4
1981-01-19,1.96,4.48,83.62,99.9,10.13,283.5,4
1981-01-20,3.44,4.0,87.88,100.7,5.37,252.0,4
1981-01-21,4.86,9.27,95.69,101.16,7.48,264.44,4
1981-01-22,0.71,8.4,95.94,101.83,4.95,234.38,4
1981-01-23,0.79,7.09,95.56,101.58,7.54,212.94,4
1981-01-24,2.11,5.82,86.38,101.27,8.35,266.69,4
1981-01-25,6.89,5.49,92.81,101.42,5.8,247.88,4
1981-01-26,1.54,8.66,95.81,101.8,6.2,251.88,4
1981-01-27,0.52,6.04,96.12,102.56,4.97,197.12,4
1981-01-28,0.94,7.29,96.0,102.41,7.38,178.06,4
1981-01-29,0.63,7.03,96.25,102.11,7.29,206.44,4
1981-01-30,0.32,5.8,95.06,102.28,5.35,219.94,4
1981-01-31,0.43,5.47,95.75,102.32,6.23,221.88,4
1981-02-01,0.62,6.18,95.88,102.0,8.17,213.06,4
1981-02-02,22.32,7.72,91.44,100.62,9.34,235.12,4
1981-02-03,3.58,4.82,89.5,99.17,10.8,273.62,4
1981-02-04,4.46,4.47,86.5,99.28,9.34,304.94,4
1981-02-05,2.19,7.23,92.62,99.93,9.62,278.38,4
1981-02-06,1.27,8.41,89.44,100.24,11.85,266.38,4
1981-02-07,6.63,8.37,93.12,100.33,10.37,239.94,4
1981-02-08,1.28,5.7,85.75,100.76,4.88,269.25,4
1981-02-09,1.34,3.01,89.62,100.93,4.47,320.75,4
1981-02-10,1.32,2.66,82.31,101.88,5.45,325.56,4
1981-02-11,2.18,2.43,90.62,101.08,8.51,206.5,4
1981-02-12,4.11,6.77,93.81,99.67,9.91,178.38,4
1981-02-13,0.13,4.51,84.38,101.2,5.68,180.81,4
1981-02-14,0.1,3.07,89.0,101.32,5.88,211.69,4
1981-02-15,1.14,4.6,91.62,101.09,5.68,261.88,4
1981-02-16,0.01,3.8,76.31,101.89,4.3,181.12,4
1981-02-17,0.14,5.37,88.31,101.65,9.46,163.31,4
1981-02-18,0.13,3.69,85.38,101.67,8.09,151.31,4
1981-02-19,0.25,2.02,82.88,101.92,5.66,141.0,4
1981-02-20,0.37,2.18,84.75,101.56,5.99,168.81,4
1981-02-21,5.65,2.28,92.06,100.17,9.02,159.94,4
1981-02-22,5.46,1.97,91.69,100.01,7.45,112.25,4
1981-02-23,1.03,1.58,88.0,100.83,5.38,101.62,4
1981-02-24,0.28,2.65,87.06,101.56,7.24,153.88,4
1981-02-25,1.71,3.71,88.12,101.46,10.88,154.69,4
1981-02-26,0.47,2.84,86.75,100.96,12.59,144.62,4
1981-02-27,2.44,3.29,87.81,99.23,14.88,123.12,4
1981-02-28,1.62,5.29,91.75,98.36,9.15,123.81,4
1981-03-01,5.0,5.25,93.5,98.48,11.91,93.06,1
1981-03-02,1.39,4.53,89.94,99.39,11.3,68.19,1
1981-03-03,0.22,2.13,81.56,100.76,5.53,60.44,1
1981-03-04,0.27,2.86,76.81,100.65,1.98,191.88,1
1981-03-05,15.8,3.57,88.81,99.55,6.36,130.38,1
1981-03-06,4.08,7.51,94.69,98.59,4.2,226.25,1
1981-03-07,9.93,10.44,92.12,97.76,11.22,201.5,1
1981-03-08,4.95,8.31,89.25,98.27,8.02,242.31,1
1981-03-09,0.65,5.92,93.0,99.57,5.59,175.06,1
1981-03-10,11.73,9.58,95.31,98.59,8.29,181.38,1
1981-03-11,5.6,10.21,94.31,98.34,5.59,226.94,1
1981-03-12,0.19,8.24,90.94,98.66,5.09,180.25,1
1981-03-13,1.38,7.92,89.38,98.43,3.27,99.94,1
1981-03-14,0.52,7.0,88.88,99.42,4.81,168.94,1
1981-03-15,0.89,5.42,82.56,100.62,6.38,327.81,1
1981-03-16,0.73,4.66,79.88,101.04,8.7,338.25,1
1981-03-17,1.56,5.29,82.56,100.81,5.78,307.69,1
1981-03-18,4.22,5.46,85.31,99.46,10.73,281.06,1
1981-03-19,3.82,3.9,87.56,98.67,5.3,245.12,1
1981-03-20,0.3,4.62,85.69,98.51,6.59,245.12,1
1981-03-21,10.52,4.43,88.94,97.39,6.27,161.88,1
1981-03-22,0.12,3.44,71.12,98.49,7.72,262.81,1
1981-03-23,8.03,5.99,92.81,97.5,8.23,181.94,1
1981-03-24,11.29,9.35,92.69,98.29,7.08,199.69,1
1981-03-25,5.96,9.7,92.62,98.04,8.24,199.25,1
1981-03-26,3.01,7.52,85.44,99.31,7.74,233.25,1
1981-03-27,4.31,7.77,92.69,98.81,12.03,152.25,1
1981-03-28,4.44,8.51,89.06,98.15,10.09,193.56,1
1981-03-29,0.01,7.25,83.94,100.05,3.12,173.38,1
1981-03-30,0.09,8.52,85.94,100.94,1.93,265.44,1
1981-03-31,0.02,8.01,90.62,100.85,6.0,145.25,1
1981-04-01,0.23,7.99,91.0,100.34,4.17,181.25,1
1981-04-02,0.56,8.91,91.69,101.24,2.48,199.38,1
1981-04-03,0.07,9.42,87.88,101.94,1.99,96.56,1
1981-04-04,0.04,9.13,90.19,102.17,2.54,125.69,1
1981-04-05,0.2,8.72,86.31,102.0,3.88,116.56,1
1981-04-06,0.22,7.43,82.44,101.67,3.32,124.94,1
1981-04-07,3.8,5.6,86.88,100.91,3.35,164.25,1
1981-04-08,0.07,7.42,84.81,101.12,4.09,203.94,1
1981-04-09,0.04,8.65,82.56,101.37,4.79,198.0,1
1981-04-10,0.36,9.5,91.5,100.78,5.38,148.0,1
1981-04-11,5.07,10.92,92.0,99.61,7.43,152.31,1
1981-04-12,3.02,8.79,86.06,100.95,7.37,149.62,1
1981-04-13,0.0,7.29,78.25,102.26,7.04,94.5,1
1981-04-14,0.0,7.46,80.56,102.25,7.77,103.94,1
1981-04-15,0.0,8.91,84.81,102.23,6.07,114.5,1
1981-04-16,0.0,9.48,80.88,101.98,4.2,146.62,1
1981-04-17,0.0,8.57,84.06,101.78,5.03,124.19,1
1981-04-18,0.0,8.98,79.12,102.2,1.69,101.94,1
1981-04-19,0.0,7.5,81.38,102.26,4.13,63.31,1
1981-04-20,0.0,7.1,77.94,102.58,2.98,144.75,1
1981-04-21,0.02,7.8,83.19,102.29,6.04,337.81,1
1981-04-22,0.03,5.66,71.81,101.66,5.93,96.25,1
1981-04-23,5.23,3.55,72.44,100.9,2.18,78.62,1
1981-04-24,12.96,2.69,85.75,99.98,12.12,37.88,1
1981-04-25,0.14,4.57,71.56,101.03,7.7,20.88,1
1981-04-26,0.13,5.08,71.88,101.32,6.96,21.81,1
1981-04-27,0.21,5.98,78.75,101.6,6.05,213.12,1
1981-04-28,4.16,8.76,93.88,101.02,8.79,288.62,1
1981-04-29,1.26,10.66,92.31,100.93,9.2,284.06,1
1981-04-30,3.05,8.95,90.38,100.45,8.18,307.56,1
