date,Rainfall,T2M,RH2M,SP,WS10M,WD10M,season
1981-01-02,15.41,5.87,97.38,95.44,10.31,263.25,4
1981-01-03,5.01,1.56,94.25,94.69,9.61,291.5,4
1981-01-04,1.93,-1.95,92.69,96.24,7.2,315.44,4
1981-01-05,6.25,-1.37,94.06,97.01,6.41,284.12,4
1981-01-06,1.28,-1.27,96.25,97.42,3.09,208.62,4
1981-01-07,3.87,0.2,99.69,98.21,3.63,234.19,4
1981-01-08,5.69,4.95,98.38,97.53,9.2,245.31,4
1981-01-09,2.39,0.68,94.0,97.21,6.94,294.69,4
1981-01-10,0.1,-2.11,92.94,98.74,5.38,337.75,4
1981-01-11,3.63,1.51,97.62,98.07,7.43,268.44,4
1981-01-12,3.62,-1.53,87.5,96.49,10.55,313.56,4
1981-01-13,4.06,-0.74,96.5,96.58,6.48,272.62,4
1981-01-14,8.42,1.56,92.06,94.1,12.65,280.56,4
1981-01-15,1.65,-3.23,92.06,94.93,6.31,315.75,4
1981-01-16,24.24,-4.56,97.44,94.61,5.38,157.69,4
1981-01-17,8.88,-1.83,97.38,94.89,4.48,78.69,4
1981-01-18,7.5,-2.28,98.38,95.74,6.05,191.38,4
1981-01-19,4.26,0.39,91.44,95.51,9.0,280.88,4
1981-01-20,1.12,-2.62,97.25,96.7,3.74,246.94,4
1981-01-21,5.45,2.37,99.88,97.04,4.61,261.12,4
1981-01-22,1.61,2.86,99.94,97.83,3.64,243.38,4
1981-01-23,2.36,4.13,99.25,97.56,6.12,223.38,4
1981-01-24,3.96,2.08,93.75,96.91,9.38,263.94,4
1981-01-25,2.23,0.88,95.38,97.33,4.25,267.0,4
1981-01-26,5.51,3.64,98.75,97.77,4.64,216.19,4
1981-01-27,0.59,3.9,98.44,98.59,4.1,234.75,4
1981-01-28,1.54,4.04,98.44,98.57,4.91,210.62,4
1981-01-29,2.49,5.4,98.12,98.07,6.73,225.19,4
1981-01-30,1.64,4.32,97.94,98.2,5.92,235.75,4
1981-01-31,1.57,3.94,97.81,98.19,6.97,237.19,4
1981-02-01,2.58,3.91,97.62,97.89,8.17,232.38,4
1981-02-02,16.64,3.41,93.19,96.52,8.31,251.0,4
1981-02-03,4.09,0.96,94.81,94.79,9.06,269.12,4
1981-02-04,1.96,-0.75,93.62,95.06,5.7,296.38,4
1981-02-05,3.32,2.75,97.12,95.63,7.04,274.12,4
1981-02-06,3.95,5.19,93.44,95.8,13.01,267.25,4
1981-02-07,12.54,5.11,96.06,96.06,10.14,248.31,4
1981-02-08,0.55,1.98,89.31,96.61,7.27,274.25,4
1981-02-09,0.22,-0.62,94.12,96.95,2.41,308.5,4
1981-02-10,0.71,-1.53,93.19,97.73,4.19,309.94,4
1981-02-11,5.59,-0.49,96.5,97.09,6.77,212.81,4
1981-02-12,5.78,2.93,98.38,96.01,7.79,181.62,4
1981-02-13,0.62,1.69,95.88,97.37,4.07,203.0,4
1981-02-14,0.39,0.33,95.69,97.33,4.8,231.44,4
1981-02-15,2.27,1.57,97.81,97.07,4.43,258.5,4
1981-02-16,0.01,-0.85,92.31,98.05,2.72,198.75,4
1981-02-17,0.7,-0.11,96.88,98.0,6.28,162.06,4
1981-02-18,0.28,-1.63,94.94,98.02,4.7,143.88,4
1981-02-19,0.48,-2.08,95.0,98.19,3.64,130.56,4
1981-02-20,0.17,-2.83,91.88,97.76,3.34,162.0,4
1981-02-21,2.81,-2.91,96.56,96.63,6.24,151.5,4
1981-02-22,0.73,-2.94,93.31,96.61,6.35,110.5,4
1981-02-23,0.85,-2.5,93.62,97.2,4.34,110.38,4
1981-02-24,0.13,-3.39,94.94,97.83,4.22,149.75,4
1981-02-25,0.22,-2.89,94.56,97.87,7.2,152.75,4
1981-02-26,0.74,-1.95,95.62,97.56,8.54,133.31,4
1981-02-27,0.7,-0.63,94.25,96.2,11.6,113.44,4
1981-02-28,12.65,0.04,97.06,95.16,10.73,107.19,4
1981-03-01,2.49,0.96,96.25,95.44,8.7,88.81,1
1981-03-02,2.95,0.22,92.88,96.15,10.28,71.0,1
1981-03-03,0.08,-2.02,88.94,96.98,3.57,69.12,1
1981-03-04,0.88,-1.25,89.81,96.72,3.11,272.06,1
1981-03-05,7.0,-1.45,95.25,95.98,4.3,143.12,1
1981-03-06,9.9,0.37,97.94,94.8,3.41,211.88,1
1981-03-07,19.67,4.51,99.44,94.02,8.17,192.5,1
1981-03-08,4.77,4.9,93.56,94.26,8.71,243.88,1
1981-03-09,1.57,2.59,92.12,95.78,5.58,181.25,1
1981-03-10,21.04,3.77,98.62,95.08,8.07,162.94,1
1981-03-11,3.99,7.6,98.69,94.52,5.26,229.0,1
1981-03-12,0.84,6.15,93.38,94.99,3.43,216.0,1
1981-03-13,0.08,5.33,81.69,94.87,1.61,100.88,1
1981-03-14,1.84,2.12,94.25,95.66,3.14,132.75,1
1981-03-15,1.14,0.83,91.06,96.51,4.66,300.94,1
1981-03-16,0.81,0.41,90.44,96.88,5.96,326.81,1
1981-03-17,2.42,0.9,90.31,96.65,5.48,286.81,1
1981-03-18,1.55,0.62,85.81,95.0,11.29,275.0,1
1981-03-19,3.67,1.3,90.31,94.65,4.55,237.06,1
1981-03-20,4.84,1.05,94.56,94.54,4.76,186.56,1
1981-03-21,10.24,-1.14,92.5,93.78,4.76,97.75,1
1981-03-22,0.26,-2.21,86.69,94.47,5.96,294.5,1
1981-03-23,6.17,-0.76,96.25,94.04,4.76,130.25,1
1981-03-24,7.65,3.97,98.06,94.59,3.99,200.0,1
1981-03-25,19.42,6.38,97.5,94.36,6.48,194.19,1
1981-03-26,3.62,4.1,92.62,95.35,6.1,241.31,1
1981-03-27,5.29,5.33,94.94,95.46,7.73,159.31,1
1981-03-28,7.92,6.06,95.88,94.66,9.42,183.31,1
1981-03-29,0.09,5.41,89.88,96.36,2.09,125.81,1
1981-03-30,0.29,5.08,93.06,97.12,1.88,232.56,1
1981-03-31,0.5,4.84,94.44,97.26,4.41,121.12,1
1981-04-01,0.55,4.51,93.38,96.63,3.23,170.19,1
1981-04-02,0.29,5.3,91.88,97.4,3.29,274.12,1
1981-04-03,0.0,5.08,85.5,98.17,1.77,140.56,1
1981-04-04,0.18,6.0,89.75,98.29,2.55,237.25,1
1981-04-05,0.24,6.56,86.25,98.22,1.95,91.88,1
1981-04-06,1.21,6.21,88.12,97.87,2.35,155.5,1
1981-04-07,2.19,2.43,90.12,97.14,4.27,158.44,1
1981-04-08,0.68,4.79,89.94,97.25,4.45,216.69,1
1981-04-09,0.02,5.86,87.44,97.51,4.99,223.56,1
1981-04-10,0.25,8.08,90.5,97.17,3.66,179.75,1
1981-04-11,4.47,7.88,95.75,96.19,5.45,143.5,1
1981-04-12,1.53,6.63,85.38,97.21,3.63,97.44,1
1981-04-13,0.01,2.94,84.5,98.66,4.91,83.56,1
1981-04-14,0.02,3.9,84.81,98.76,6.17,96.69,1
1981-04-15,0.01,6.38,86.31,98.65,4.01,109.75,1
1981-04-16,0.0,7.11,79.12,98.29,2.42,126.31,1
1981-04-17,0.02,5.89,87.0,98.17,3.42,114.12,1
1981-04-18,0.04,6.37,83.56,98.41,3.29,79.69,1
1981-04-19,0.02,4.13,84.19,98.45,4.62,40.56,1
1981-04-20,0.02,5.14,82.06,98.63,2.65,165.12,1
1981-04-21,0.01,5.31,80.38,98.33,3.03,170.75,1
1981-04-22,0.13,-0.35,80.44,97.77,4.15,138.19,1
1981-04-23,0.89,-0.58,75.12,97.07,1.72,207.5,1
1981-04-24,4.04,-0.51,86.69,96.64,7.6,59.0,1
1981-04-25,0.24,0.24,82.75,97.25,4.31,28.12,1
1981-04-26,0.28,0.51,83.19,97.51,4.63,19.0,1
1981-04-27,0.29,1.88,86.31,97.56,4.27,307.12,1
1981-04-28,2.3,6.44,92.62,96.75,7.52,288.75,1
1981-04-29,2.83,8.19,95.5,96.64,8.0,280.81,1
1981-04-30,1.01,5.35,85.25,96.34,6.34,315.06,1
1981-05-01,0.23,0.98,80.31,96.65,4.52,337.25,1
1981-05-02,3.46,2.17,86.25,96.82,4.24,296.88,1
1981-05-03,10.84,3.27,93.19,94.93,3.59,145.0,1
1981-05-04,0.45,2.93,80.44,95.37,4.2,30.88,1
1981-05-05,3.82,2.64,83.88,95.62,5.16,131.62,1
1981-05-06,8.25,4.99,87.88,95.64,5.27,176.44,1
1981-05-07,12.56,8.14,93.06,95.88,4.93,142.25,1
1981-05-08,2.51,9.73,90.0,95.82,4.66,187.56,1
1981-05-09,1.09,9.23,81.12,96.64,2.24,164.19,1
1981-05-10,1.53,8.55,95.38,96.65,7.7,62.75,1
1981-05-11,0.16,12.86,88.0,96.46,5.03,74.44,1
1981-05-12,1.53,13.08,91.06,95.95,4.54,92.06,1
1981-05-13,2.68,11.55,88.75,96.05,5.87,123.5,1
1981-05-14,2.85,8.62,89.88,96.08,5.91,155.31,1
1981-05-15,1.66,9.07,84.94,96.65,6.62,124.06,1
1981-05-16,6.08,7.63,92.12,96.03,7.2,99.75,1
1981-05-17,1.79,8.15,87.25,95.87,8.04,111.62,1
